d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
56.5407885,30.6677788,36.4076512,1.5020190,0.0596158,8.0000000,0.0000000
56.7405793,30.4683896,36.4202316,1.5133619,0.0539200,8.0000000,0.0000000
56.9403700,30.2688850,36.4306630,1.5235611,0.0481837,8.0000000,0.0000000
57.1401608,30.0692629,36.4391749,1.5326104,0.0423926,8.0000000,0.0000000
57.3399516,29.8695935,36.4459952,1.5405000,0.0365877,8.0000000,0.0000000
57.5397423,29.6698848,36.4513556,1.5472290,0.0307733,8.0000000,0.0000000
57.7395331,29.4701272,36.4554896,1.5527803,0.0247806,8.0000000,0.0000000
57.9393239,29.2703661,36.4586337,1.5571481,0.0191857,8.0000000,0.0000000
58.1391147,29.0705960,36.4610109,1.5604786,0.0141531,8.0000000,0.0000000
58.3389054,28.8708135,36.4628075,1.5630603,0.0119038,8.0000000,0.0000000
58.5386962,28.6710300,36.4641281,1.5652674,0.0106093,8.0000000,0.0000000
58.7384870,28.4712402,36.4650230,1.5673564,0.0103031,8.0000000,0.0000000
58.9382777,28.2714503,36.4655154,1.5692430,0.0084668,8.0000000,0.0000000
59.1380685,28.0716590,36.4656709,1.5707013,0.0056254,8.0000000,0.0000000
59.3378593,27.8718683,36.4656044,1.5714223,0.0015926,8.0000000,0.0000000
59.5376501,27.6720776,36.4654592,1.5715840,0.0002239,8.0000000,0.0000000
59.7374408,27.4722869,36.4653044,1.5715346,-0.0004310,8.0000000,0.0000000
59.9372316,27.2724961,36.4651654,1.5714504,-0.0004128,8.0000000,0.0000000
60.1370224,27.0727053,36.4650429,1.5713694,-0.0003980,8.0000000,0.0000000
60.3368131,26.8729147,36.4649362,1.5712914,-0.0003831,8.0000000,0.0000000
60.5366039,26.6731239,36.4648449,1.5712164,-0.0003677,8.0000000,0.0000000
60.7363947,26.4733332,36.4647682,1.5711444,-0.0003521,8.0000000,0.0000000
60.9361855,26.2735424,36.4647056,1.5710757,-0.0003365,8.0000000,0.0000000
61.1359762,26.0737516,36.4646564,1.5710100,-0.0003208,8.0000000,0.0000000
61.3357670,25.8739609,36.4646200,1.5709475,-0.0003048,8.0000000,0.0000000
61.5355578,25.6741701,36.4645957,1.5708882,-0.0002888,8.0000000,0.0000000
61.7353486,25.4743793,36.4645830,1.5708321,-0.0002727,8.0000000,0.0000000
61.9351393,25.2745885,36.4645812,1.5707792,-0.0002564,8.0000000,0.0000000
62.1349301,25.0747978,36.4645897,1.5707296,-0.0002400,8.0000000,0.0000000
62.3347209,24.8750070,36.4646077,1.5706833,-0.0002235,8.0000000,0.0000000
62.5345116,24.6752162,36.4646346,1.5706403,-0.0002069,8.0000000,0.0000000
62.7343024,24.4754255,36.4646698,1.5706007,-0.0001902,8.0000000,0.0000000
62.9340932,24.2756347,36.4647125,1.5705643,-0.0001735,8.0000000,0.0000000
63.1338840,24.0758439,36.4647622,1.5705314,-0.0001566,8.0000000,0.0000000
63.3336747,23.8760532,36.4648182,1.5705018,-0.0001397,8.0000000,0.0000000
