d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
48.7752148,37.0184589,32.5252422,0.2614388,0.3321768,5.8859266,-0.2140379
48.9751132,36.9601707,32.7173685,0.3270096,0.3134944,5.8786529,0.4617677
49.1750116,36.8903932,32.9043368,0.3863216,0.2811117,5.8943340,1.5252069
49.3749101,36.8105854,33.0866655,0.4371694,0.2361058,5.9458344,2.9324563
49.5748085,36.7221742,33.2652570,0.4811834,0.2109793,6.0436192,3.5495092
49.7747069,36.6262943,33.4399701,0.5224919,0.2099264,6.1599039,3.2611413
49.9746053,36.5232694,33.6104379,0.5645186,0.2023617,6.2648392,3.2577692
50.1745037,36.4134713,33.7767136,0.6019890,0.1806301,6.3679397,3.8488927
50.3744022,36.2976554,33.9390455,0.6374696,0.1810930,6.4876368,3.5200976
50.5743006,36.1759923,34.0971926,0.6743227,0.1897679,6.5952069,2.8592298
50.7741990,36.0483578,34.2507469,0.7128187,0.1953880,6.6813072,2.3681272
50.9740974,35.9146085,34.3994688,0.7520968,0.1963787,6.7517876,2.1186794
51.1739958,35.7747046,34.5432432,0.7913542,0.1943144,6.8142261,2.0309296
51.3738943,35.6292995,34.6814683,0.8299372,0.1906063,6.8735461,2.0317981
51.5737927,35.4801542,34.8128330,0.8672854,0.1854531,6.9323836,2.1080618
51.7736911,35.3253790,34.9393082,0.9039117,0.1805476,6.9929063,2.1744721
51.9735895,35.1653219,35.0607055,0.9397587,0.1763019,7.0547917,2.2111049
52.1734880,35.0022123,35.1755874,0.9744420,0.1718133,7.1171679,2.2646029
52.3733864,34.8350875,35.2849192,1.0083697,0.1676357,7.1804916,2.3059914
52.5732848,34.6635697,35.3890712,1.0416700,0.1642410,7.2444039,2.3108099
52.7731832,34.4897120,35.4869794,1.0740268,0.1603948,7.3078891,2.3456555
52.9730816,34.3124333,35.5794604,1.1057769,0.1567946,7.3717724,2.3717715
53.1729801,34.1318849,35.6665464,1.1368679,0.1536547,7.4358090,2.3773784
53.3728785,33.9496170,35.7476684,1.1670922,0.1494978,7.4994482,2.4457576
53.5727769,33.7644482,35.8235358,1.1966632,0.1457003,7.5643591,2.4969403
53.7726753,33.5772973,35.8939190,1.2253602,0.1415073,7.6300589,2.5752539
53.9725737,33.3882719,35.9589678,1.2532000,0.1367376,7.6972317,2.6911715
54.1724722,33.1974304,36.0188559,1.2800834,0.1320395,7.7668075,2.8055293
54.3723706,33.0051878,36.0736605,1.3058899,0.1262535,7.8386823,2.9900846
54.5722690,32.8115583,36.1236107,1.3305808,0.1203973,7.9145667,3.1816317
54.7721674,32.6168836,36.1688632,1.3540129,0.1141478,7.9945214,0.2191792
